"coupon_id","title","description","discount","minimum_cart","applicables","brands","users","payment","offer_tnc"
"111-3-16824","Get Flat 20% OFF On Donuts (Hyderabad Only)","Grofers, hyper local giant shopping store for daily needs by ordering your needed products from neighbourhood stores and Get delivered within 90 minutes. Avail Flat 20% OFF from Donut House with no discount limit by using the grofers coupon at checkout. Applicable only for Hyderabad Users and Valid For all Online Payments. Get it Now Soon! ",,,,,,,
"111-3-17858","Avail Flat Rs 50 OFF On Next Order","Return your 3 old bags/boxes to Grofers and Avail Flat Rs 50 OFF on next order. Valid only in top ranked metro cities like Ahmedabad, Bengaluru, Chennai, Delhi NCR, Hyderabad, Lucknow, Mumbai, Jaipur, Kolkata, Pune. Rush Now! ",,,,,,,
"111-3-18416","Avail Tropicana Slice FREE On All Orders (Only Today)","Get soul-delighting and luscious deal on shopping with Grofers app where on every order user will get a chance to taste the royal flavour of Alphonso Mango with Tropicana Alphonso Slice Juice for FREE of cost. Limited Period Offer. Hurry Up! ",,,,,,,
"111-3-18848","Per-Book iPhone 6S @ Best Price","Pre-Book the all new and your gorgeous iPhone 6S here in this Grofers link for the best price and Get it delivered from mid-night of 15th October, 2015. No Code needed. Rush & Book Now! ",,,,,,,
"111-3-19051","Order iPhone 6S & Get Power Bank FREE","Grofers, Online Instant Groceries, Fruits & Vegetables, Bakery, Mobile & Accessories delivering app just announced tempting deal where on ordering iPhone 6S customer will get 10000mAh Power bank worth Rs 2999 absolutely FREE. Checkout this link and Order Now! Hurry! ",,,,,,,
"111-3-19426","Nexus 5X & 6P @ Best Price","Buy Now in Reliance Digital stores from selected cities on Grofers app and Become first customer to own your fabulous and robust Nexus 5x and 6p models from this link. No discount coupon is needed. Hurry Up! ",,,,,,,
"113-3-10060","Domino &#39;s Friday Offer - Get 20% OFF on Rs 350","Your wait is over! Tantalizing weekend offer by Dominos is here -- Get 20% OFF on a minimum order of Rs 350. The joy of indulging your palate in hot cheese bursts, decorated with flavorful sauces and tantalizing toppings is unsaid. You ll never feel enough of Delicious Dominos pizza with this Friday offer. Order now and enjoy the Friday with Dominos Pizza. ",,,,,,,
"113-3-10474","Monday Offer: Enjoy 20% on Monday and Get 30% OFF on Your Next Order","Now you could get the delicious pizza on Monday at 20% OFF and Get 30% OFF on Your Next Order in this Week. This offer is not valid on Simply Veg, Simply N-Veg Pizzas, Regular Pizzas and Combos & Beverages. This 30% OFF Offer will bee Valid From Tuesday to Sunday. Offer will be Sent to Mail. Use the above Coupon to Avail this Monday KickStarter Offer ",,,,,,,
"113-3-13061","Domino&#39;s Wednesday Offer: Flat Rs 100 Off On Rs 400 Or 25% Off On Rs 350","Wednesday Wah Masti Offer: Flat 25% off on Rs 350 and Rs 100 discount on orders Rs 400 and above. Make merry in a delicious cheese burst or cheese wonder pizza available only at Dominos. Choose from a wide range of pizzas -- double cheese Margherita, veg extravaganza, chicken golden delight, simply non-veg and feast pizza -- and it doesn t get better than the Dominos Wednesday pizza offer. Use Code - TMP25 to avail 25% off on Rs 350. Dont miss this offer. ",,,,,,,
"113-3-13062","Domino&#39;s Wah Wednesdays Offer: Flat 20% OFF on Rs 350","Domino's Wah Wednesday offers - A great daily delight from Dominos where you could save flat 20% on your bill which is for Rs 350 and Above. This offer is not applicable for regular, simply veg or simply non veg pizzas. You also might not get discount on combos or side orders. Offer is valid on all Wednesday's. This Deal is only for Online users only. ",,,,,,,
"113-3-1369","Thursday Offer: Flat 20% OFF on Minimum Order of Rs 350","Domino's Wow Offer - 20% OFF on Rs 350. Get a flat discount of 20% when you buy fresh pan pizza or when you order food items worth Rs 350 or above. Valid for all users. Use the above Coupon Code to avail this offer now! This offer is valid only on Thursday. Code cannot be combined with other offers. ",,,,,,,
"113-3-15540","Free Choco Lava Cake with Exotic Italian Pizza With Side","Introducing chef's inspiration exotic Italian pizza's at Dominos. Get Choco Lava Cake absolutely Free with order of Exotic Italian Pizza with a side or coke. This offer is not applicable on dips. So Don't Miss to Order Now. Get your delicious Pizza now in Online with various payment options. hurry up. ",,,,,,,
"113-3-19412","Delicious Dussehra Offer: Get 25% OFF on Rs 400","Domino's is Offering Dussehra Special as get 25% OFF on a Minimum Bill of Rs 400 by Using the above Code. This is Valid from 22nd to 25th October 2015. Crush the Evil Hunger Pangs with Pizza. This is Not Valid on Simply Veg, Pizza Mania Combos and Stuffed Garlic Bread. This is Valid on Online Ordering. ",,,,,,,
"113-3-3184","Domino&#39;s Weekend Feast: Free Garlic Bread & Dip on All Orders Above Rs. 350","Dominos Weekend get Together Offer - Get Garlic Bread Stick and a cheesy Dip Free on order of minimum Rs. 350 and above Only On Weekends. This offer is not valid on Simply Veg, Pizzas, Simply Non-Veg, Combos and Beverages. Use the Promo Code as mentioned to avail this offer, valid only on all Weekends. ",,,,,,,
"113-3-79","Friday - Saturday- Sunday Dominos Offer- Get Rs 100 OFF ON Rs 400","s Offers Weekend Get Together Offer, Get discount of Rs 100 OFF for your Online Orders at Dominos on minimum Order Value Of Rs 400. Valid Only on Pizzas and Breads only. This offer valid on Weekend - Friday, Saturday, Sunday. Use the above voucher code and save more from this offer. Get your Pizza with Online Payments like Credit/Debit cards and Cash on Delivery also. ",,,,,,,
"113-3-9880","Dominos Saturday Offer: Flat Rs. 100 Off On Rs. 400","Head to the cheese feast zone today with this Saturday Domino s offer. Avail flat Rs. 100 off on Rs. 400 and above with today s exciting offer. Enjoy the scrumptious cheese burst and cheese wonder pizza with this deal. Use the above Code. Offer valid only on weekend - Saturday. ",,,,,,,
"113-3-9895","Dominos Sunday Offer: Get Free Garlic Bread and Dip on Min Rs 350","Sink your teeth into a delicious pizza served with your favorite toppings plus enjoy Free Garlic Bread and Dip on Rs 350 with this exciting Sunday offer. To avail this offer today, you need to make a minimum order of Rs 350. Offer is valid only today. Use the above Code to avail Dominos Sunday exclusive offer. Order Now and get the hot Pizza. ",,,,,,,
"113-3-9908","Tempting Domino s Tuesday Offer -- 20% OFF on Rs 350","With today s Dominos pizza deal, you ll be saving a lot -- flat 20% off on Rs 350 and above. Pick the slices of scrumptious dough decorated with tempting cheese bursts, flavorful sauces and unconventional range of toppings with your friends today. Domino s pizzas come in a variety of toppings both in veg and non-veg, from black olives, golden corn, fresh tomato, pineapple, paneer, red pepper, gherkins to bodycorn and more. Hungry think of Dominos Pizza. Order Now. ",,,,,,,
"113-4-171415","Special Offers  at  Domino&#8217;s pizzas","Buy an pizza @ domino s & get an amazing offers on variety of meals & pizzas.No coupon code required to active this deal.click here to get offer page.",,,,,,,
"113-4-185125","Get 15% Cashback when Pay Using Mobikwik Wallet","Order your favorite pizza and get 15% cashback on all your orders when you choose Mobikwik wallet as your payment mode, the maximum cashback you can get of Rs. 150. Cashback will be credited within 24 hours of the transaction.No coupon code required to active this deal.click here to get offer page.",,,,,,,
"115-2-1181","UPTO 50% OFF ON MAST & HARBOUR","Get upto 50% off on †mast and harbour† at Myntra.com. Offer VALID ONLY on products displayed on the listing page.",,,,,,,
"115-2-1185","FLAT 50% OFF ON ROADSTER PRODUCTS","ROADSTER OFFER: FLAT 50% OFF on Roadster Clothing for Men and Women at Myntra.com.†Valid only on products at listing page. Period for limited time. No minimum purchase required.",,,,,,,
"115-2-265","FLAT 50% OFF ON WIDE RANGE OF PRODUCTS","Get flat 50% off on 40k+ products†at Myntra. Click to View the Products displayed on listing page . Buy Now!.",,,,,,,
"115-2-351","FLAT 40% OFF ON FOOTWEAR","10 HOURS SALE : Flat 40% off on top SPORT WEAR brands. Buy Now!.",,,,,,,
"115-2-750","FLAT 30 &#8211; 70% OFF ON FASHION SALE","Myntra Weekend Sale: GET flat 30 to 60% off on top brands. Products display on listing page. Buy Now!.",,,,,,,
"115-2-759","UPTO 60% OFF: CASUAL WEAR MEN","Upto 60% off on men's casual winter wear at myntra.com. Valid till stock last. No Code is required for this deal.",,,,,,,
"115-2-762","FLAT 50% OFF ON MEN & WOMEN T-SHIRT","Flat 50% off on selected items at Myntra.com for Men's & women Graphic and Fashion casual T-shirt. Hurry up! Offers is valid till stock last.†No Code is required for this deal.",,,,,,,
"115-2-764","FLAT 60% OFF ON SELECTED STYLES","Flat 60% off on men's and women's itemsat myntra.com.†Click to see the deal on the listing page. Limited period offer. Buy Now! No Code required.",,,,,,,
"115-2-886","UPTO 40% OFF ON CALVIN KLEIN PRODUCTS","CALVIN KLEIN OFFER: Get FLAT 40% OFF on Men's and Women's products at Myntra.com. Buy Now!.",,,,,,,
"117-3-11664","Upto 50% OFF Women&#39;s Collection","Buy and get upto 50% OFF on women collections like tops, shoes, dresses and many more. No coupon needed. Pick from wide selection of products. Hurry up. ",,,,,,,
"117-3-13830","Upto 50% OFF Henley T-shirts","Buy for upto 50% off henley t-shirts at zovi. Select from different colors and sizes available. No coupon needed.",,,,,,,
"117-3-14151","Gaming Graphic Tees Starting At Rs 499","Explore all gaming graphic tees for men at zovi. Prices starting at Rs 499 only. Select from different sizes and tees available. No discount Code needed. ",,,,,,,
"117-3-14323","Linen Shirts Starting @ Rs 1299","Buy linen shirts online at zovi. Select from different colors & sizes available. No discount code needed.",,,,,,,
"117-3-14719","Upto 50% OFF Jackets & Pull Overs For Men","Zovi offers upto 50% off on mens winter wear. Select from different categories like jackets, pull overs, sweat shirts and more. No Code needed. ",,,,,,,
"117-3-1481","Women Footwear Below Rs. 500","Zovi brings fantastic Deal on Women Footwear as you can get up to 70% OFF. Avail Soon. Also avail free shipping and cash on delivery. No zovi coupon needed. ",,,,,,,
"117-3-14956","Men Shorts Starting At Rs 399","Buy men shorts online starting at Rs 399 only. select from different colors and sizes available. No Code needed.",,,,,,,
"117-3-15513","Upto 50% OFF Men&#39;s Bottoms","Get upto 50% off men's bottoms. Select from categories like bottoms, jeans, trousers, track pants, shorts and more. No Code needed.",,,,,,,
"117-3-16607","40% OFF High Ankle Shoes","Avail 40% off on high ankle shoe for men at zovi. Select from different colors and sizes listed in the listing page. No coupons code needed.",,,,,,,
"117-3-16832","Animal Lover T-shirts Starting At Rs 209","Buy animal lover t-shirts starting at Rs 209. Select from different designs. No zovi coupons needed.",,,,,,,
"117-3-17369","Men Winterwear: Upto 50% OFF","Buy men winter wear dresses from zovi to keep your self warm from this monsoon season. Select from multiple sizes & colours available. No zovi Code needed. ",,,,,,,
"117-3-1981","Upto 50% OFF Men Jeans","Buy and get upto 50% off on men jeans online. Select from different colours, sizes, shades and fit types of jeans available. No Code needed. ",,,,,,,
"117-3-1982","80% OFF Women Kurtis","Buy for upto 80% off women kurtis at zovi. Select from different colors, sizes available. No zovi Code needed.",,,,,,,
"117-3-1983","Typography Tees Starting From Rs 399 Only","Buy the latest and new arrivals of typography tees for men at zovi. Prices starting from Rs 399. Select from different colors, sizes. No Code needed. ",,,,,,,
"117-3-1984","30% OFF Men Sports Shoes","Buy for upto 30% off men sports shoes at zovi . Select from different colors and sizes available. No Code needed. walk, jog, run.",,,,,,,
"117-3-1985","Upto 40% OFF Men Casual Shoes","Buy for Upto 40% off on men casual shoes at zovi. Select from different colors and sizes available. No Code needed. ",,,,,,,
"117-3-372","Men Track Pants Starting At Rs 499","Buy men track pants and jogging pants for men at zovi website. Select from different colours & sizes of tees. No discount Code needed. ",,,,,,,
"117-3-4258","Womens Winterwear : Upto 70% OFF","Buy winter wear dresses from zovi to keep your self warm from this monsoon season. Select from multiple sizes & colours available. No Code needed. ",,,,,,,
"117-3-4615","Men Kurtas Starting At Rs 499","Buy and get men kurtas starting at Rs 499. Select from different sizes and colours of kurtas. No zovi coupon needed. Order now!",,,,,,,
"117-3-4795","Bollywood Graphic Tees At Rs 399","Buy bollywood graphic tees online at zovi for Rs 399 only. Select from different styles in the listing page. No coupon needed.",,,,,,,
"117-3-541","Men&#39;s Inner Wear Starting At Rs 149","Buy men's inner wear products at zovi. Select from different colors and sizes. No discount coupons needed.",,,,,,,
"117-3-542","Upto 50% OFF Western Wear Dresses","Buy and save upto 50% off on womens western wear dresses. Select from tops, tees, bottoms, spaghettis, dresses and many more. No zovi coupons needed to get the discount. Order now! ",,,,,,,
"117-3-5793","Upto 70% OFF Women&#39;s Ethnicwear","Get utpo 70% OFF on womens ethnic wears on online shopping at zovi . Select from wide range of collections of dresses. No discount Code needed. ",,,,,,,
"117-3-5867","Upto 50% OFF Men Shirts","Buy for upto 50% off on men shirts. Select from different types like casual shirts, printed, Check, Solid, Linen and many more. Pick from huge collections displayed in the listing page. No coupon needed. Click activate deal and Avail the offer. Buy now! ",,,,,,,
"117-3-5869","Zodiac Sign Tees Starting At Rs 499","Dress up yourself according to your zodiac signs. Select from wide selection of graphic tees displayed in the listing page. No Coupon Code needed. ",,,,,,,
"117-3-5986","Upto 70% OFF Womens Tops","Get upto 70% off women tops at Zovi. Check out the listing page to unearth the fabulous range of tops with unique designs.",,,,,,,
"117-3-983","Upto 50% OFF Polos","Get upto 50% off polos. Choose from the different colors of tees displayed in the listing page. No Code needed.",,,,,,,
"117-3-9834","Women&#39;s Bottoms Starting At Rs. 499","Get best price on all womens bottoms like Jeans, Shorts, Trousers, Skirts and many more. Click activate deal and Choose from wide selection of products. ",,,,,,,
"117-7-443823","Flat 10% Off On Pre-Payment Order On Sitewide","Buy and Avail flat 10% off on pre-payment order on sitewide at Zovi",,,,,,,
"117-7-503782","Flat 21% Off On Minimum Order Of Rs.1200","Buy clothing, footwear & more and get flat 21% off on minimum order of Rs.1200 at Zovi",,,,,,,
"117-7-522844","Factory Outlet - Get Upto 50% + Extra 21% Off","Buy At Zovi and get upto 50% off + extra 21% off on Men's apparel.Use Code to avail this offer.",,,,,,,
"117-7-554991","Navratri Offer - Casual Shirts Below 799 + Upto 10% Off On Prepayment","Navratri Offer - Casual Shirts Below 799 + Upto 10% Off On Prepayment at Zovi. Use Code to avail this offer. Hurry! offer valid only for a limited period.",,,,,,,
"117-7-554996","Get Extra 20% Off On Minimum Purchase Of Rs.1500 Or More","Get Extra 20% Off On Minimum Purchase Of Rs.1500 Or More. Use Code to avail this offer.",,,,,,,
"117-7-555198","Navratri Offer - Polo T Shirts Starting At 279 Plus 10% Off On Prepayment","Navratri Offer - Get polo t-shirts starting at 279 plus 10% off on prepayment at Zovi. Use Code to avail this offer. Hurry! offer valid only for a limited period.",,,,,,,
"117-7-555386","Flat 30% Off On Winter Wear + Extra 10% Off For Online Payments","Buy winter wear and get flat 30% off at Zovi",,,,,,,
"121-4-142943","3 Denim Shirts  at  Rs.999/-","Stylish and Regular Denim Shirts pack of 3 just for Rs.999/-. No need to use the coupon code. Click to get the offer page.",,,,,,,
"121-4-142945","5 Casual Shirts For Men  at  1099","Buy a pack of 5 casual shirts for just Rs.1099/-. Limited offer. Click to get the offer page",,,,,,,
"121-4-142958","Blackberry Smart Phones At Only Rs.3999","Network:GSM, †Display:TFT capacitive touchscreen(3.25 inches), †OS: Blackberry, †Internal Memory:2G, †Camera: 3.15 MP, 2048 x 1536 pixels, autofocus, LED flash, †Features: MP3/MP4/WMA/AAC+ player etc.",,,,,,,
"121-4-157858","Get RS.1000 Discount on Branded Jeans","Buy any international branded jeans and get Rs.1000 discount , no coupon code required to activate this offer.",,,,,,,
"121-4-157863","Buy Shoes Just For Rs.599","Buy and get Rs.1400 discount on shoes at whaaky , after discount the price is Rs.599 only , no coupon code required to activate this offer.",,,,,,,
"121-4-157873","Branded 5 jeans  at  Rs.1599","Buy 5 branded jeans just for Rs.1599 only , no coupon code required to get this offer.",,,,,,,
"121-4-157897","Buy 5 Kouton Shirts  at  Rs.1099","Buy 5 kouton shirts just for Rs.1099 only, no coupon code required to activate this offer.",,,,,,,
"121-4-157899","5 Deodorants  at  Rs.599","Buy 5 deodorants just for Rs.599 only , no coupon code required to activate this deal.",,,,,,,
"121-4-157904","6 Polo Tees Starts  at  Rs.1099","Buy 6 polo tees just for Rs.1099 only , discount amount is Rs.500 , no coupon code required to activate this deal.",,,,,,,
"121-4-157908","Power Bank Price  at  Rs.999","Power bank starts from Rs.999 only , no coupon code required to activate this offer.",,,,,,,
"121-4-39160","Upto 80% Off On Hot Deals","On Different products like sports accessories, clothing, mobiles etc. No need to use any coupon codes. Click to get the landing page.",,,,,,,
"123-1-84652","Flat 15% off on VLCC personal care products","Get flat 15% off on VLCC personal care products. Only valid for products listed on listing page. No Code is required to Avail this offer. ",,,,,,,
"123-1-88749","Clearance sale - Upto 70% off on all products","Clearance sale - Get upto 70% off on all products. Only valid for products listed on listing page. No Code is required to Avail this offer. ",,,,,,,
"123-1-94543","Flat 10% off on Deuter bags","Get flat 10% off on Deuter bags. Only valid for products listed on listing page. No Code is required to Avail this offer. ",,,,,,,
"123-4-104444","Sign up & Get Flat Rs.1500 off","Sign up & Get Flat Rs.1500 off on first 10 purchases. Use Coupon code to get the discount.",,,,,,,
"123-4-139850","Upto 40% + Extra 10% Off on Cycling & Biking Products","Choose from various products like † Helmets, Jackets, †Armour, †Gloves & Masks, †Lights and more. Use the coupon code to get this offer.",,,,,,,
"123-4-162731","Flat 10% OFF on Omved Products","Flat 10% Off on Omved on a minimum purchase of Rs. 499.Offer valid on Omved organic Beauty products like Bath Bar,Shishu Ubtan,Multani Fuller s,All skin type ubtan and etc. Use coupon code to get this offer.Click to get this offer page.",,,,,,,
"123-4-162738","Flat 10% Off on VLCC products","Flat 10% OFF on VLCC on a minimum purchase of Rs. 499.Beat Heat with the summer VLCC products like†BODY LOTION & HAIR REMOVAL CREAM,Anti Tan Skin Lightening Face Wash,Daily Protect Cherry Lip Balm with SPF 15,Matte Look Sun Screen Lotion SPF 30 PA+++ and etc.Use coupon code to get this offer.Click to get this offer ",,,,,,,
"123-4-162801","Flat 10% OFF on Chicco Products","Flat 10% Off on Chicco on a minimum purchase of Rs. 499.†Chicco s highest priority is ensuring the quality and safety of kids †personal care products.Use coupon code to get this offer.Click to get this offer page.",,,,,,,
"123-4-162808","Flat 11% Off On Wildcraft Products","Flat 11% OFF On Wildcraft on a minimum purchase of Rs. 499.Wildcraft products & Bags like†Wildcraft Passport Pouch (Yellow),Wildcraft Chalk Bag (Green),Wildcraft Pac N Go 19.5 inch Duffel Bag,Wildcraft Ranger Bifold (Black) and etc.Use coupon code to get this offer.Click to get this offer page.",,,,,,,
"123-4-162815","Flat 10% Off On Coghlan&#8217;s Products","Flat 10% OFF On Coghlan s on a minimum purchase of Rs. 499.Products like†Coghlan Micro Lantern,Coghlan Money Belt,Coghlan Survival Aid and etc.Use coupon code to get this offer.Click to get this offer page.",,,,,,,
"123-4-162821","Flat 15% OFF On Ayorma Products","Flat 15% OFF On Ayorma on a minimum purchase of Rs. 499.Products†include rejuvenating face mask, massage creams, tan removal creams, lotions, varieties of face wash, shampoos and conditioners and many more for your complete all round beauty treatment.Use coupon code to get this offer.Click to get this offer page.",,,,,,,
"123-4-162833","Flat 15% OFF On MOODS Condoms","Flat 15% OFF On MOODS Condoms on a minimum purchase of Rs. 499.Products like†Velvet Female Condoms for Women,Moods Premium Ultra Thin Condoms,Moods Dotted Condoms Supreme and etc.Use coupon code to get this offer.Click to get this offer page.",,,,,,,
"123-4-162849","Flat 10% OFF On DUREX Condoms","Flat 10% OFF On DUREX Condoms on a minimum purchase of Rs. 499.Products like†Durex Excite Me Condoms,Durex Excite Me Dotted Condoms,Durex Flavours Condoms and etc.Use coupon code to get this offer.Click to get this offer page.",,,,,,,
"123-4-162855","Flat 12% OFF On Clean & Clear Products","Flat 12% OFF On Clean & Clear on a minimum purchase of Rs. 499.Products like†Clean & Clear Morning Energy Lemon Face Wash,Clean & Clear Deep Action Oil Control Face Wash,Clean & Clear Morning Energy Brightening Berry Face Wash and etc.Use coupon code to get this offer.Click to get this offer page.",,,,,,,
"123-4-162864","Flat 10% OFF On Lotus Herbal Products","Flat 10% OFF On Lotus on a minimum purchase of Rs. 499.Products like†Lotus Vanilla Lip Therapy 4gm,Lotus Cocoa Lip Therapy 4gm,Lotus Orange Lip Balm 5gm and etc.Use coupon code to get this offer.Click to get this offer page.",,,,,,,
"123-4-162875","Flat 5% OFF On Neutrogena Products","Flat 5% Off On Neutrogena on a minimum purchase of Rs. 499.Products like†Neutrogena Fine Fairness Cleanser,Neutrogena UltraSheer Complete UV Moisture,Neutrogena Light Night Cream and etc.Use coupon code to get this offer.Click to get this offer page.",,,,,,,
"123-4-162880","Flat 10% OFF On SEBAMED Products","Flat 10% OFF On SEBAMED on a minimum purchase of Rs. 499.Sebamed represents one of the leading brands for medicinal skin care with a pH value 5.5 of healthy skin. All products of the sebamed range contain high-quality active ingredients which cleanse and nourish the skin without destroying the natural acid protection mantle. Use coupon ",,,,,,,
"123-4-162885","Flat 10% OFF On PALMERS Products","Flat 10% OFF On PALMERS on a minimum purchase of Rs. 499.Products like†Palmers Cocoa Butter Formula Skin Therapy Oil,Palmers Cocoa Butter Formula Nursing Butter,Palmer s Cocoa Butter Formula Body Gloss and etc.Use coupon code to get this offer.Click to get this offer page.",,,,,,,
"123-4-162894","Flat 15% OFF On Dreambaby Products","Flat 15% OFF On DREAMBABY on a minimum purchase of Rs. 499.Products like†Dreambaby F121 Refrigerator Latch,Dreambaby F146 Mini Multi Purpose Latch,Dreambaby F105 Appliance Latch and etc.Use coupon code to get this offer.Click to get this offer page.",,,,,,,
"123-4-162903","Flat 10% OFF On Farlin Products","Flat 10% OFF On FARLIN on a minimum purchase of Rs. 499.Products like†Farlin Multi Use Guard For Table Edge,Farlin Safety Guard For Socket,Farlin Fan Cover and more.Use coupon code to get this offer.Click to get this offer page.",,,,,,,
"123-4-162905","Flat 15% OFF On Fresh Ones Products","Flat 15% OFF On Fresh Ones on a minimum purchase of Rs. 499.Products like†Cologne,Intimate,Rose,Baby Wipes and etc.Fresh Ones Wet Tissues are well sanitized and come in a container which keeps its scent protected. It has anti-bacterial formula therefore every time you clean your hands or face it remains germ free.Use coupon code to get this ",,,,,,,
"123-4-162927","Flat 10% OFF On Hikvision Security","Flat 10% OFF On Hikvision Security†on a minimum purchase of Rs. 499. Products include a wide range of video cameras, CCTV surveillance cameras, bullet cameras, video management software and dome cameras.Use coupon code to get this offer.Click to get this offer page.",,,,,,,
"123-4-162932","Flat 10% OFF On Hyperkewl","Flat 10% OFF On Hyperkewl on a minimum purchase of Rs. 499.Products that are meant to provide cooling effect on your body.Sports vest,Sports cap,wrist wraps and etc.Use coupon code to get this offer.Click to get this offer page.",,,,,,,
"123-4-162944","Flat 10% Off On Pigeon Products","Flat 10% OFF On PIGEON on a minimum purchase of Rs. 499.Products like†baby and mother Care products bottle teats, breast pumps, baby toiletries, disposable diapers, baby wet wipes and toys as well as a range of products for senior citizens.Use coupon code to get this offer.Click to get this offer page.",,,,,,,
"123-4-162947","Flat 10% OFF On Bear Grylls Gerber Products","Flat 10% OFF On Bear Grylls Gerber products on a minimum purchase of Rs. 499.Products like†serrated blades,hunting knife,Camping Equipment, Survival Kit, Camping Gear, Folding Knife, and other.Use coupon code to get this offer.Click to get this offer page.",,,,,,,
"123-4-162959","Flat 10% OFF On KT Tape","Flat 10% OFF On KT TAPES on a minimum purchase of Rs. 499.†Kinesio Taping deals with sports tape with a belief that the tape could do wonders on the patient s body. The tape helps in providing relief from pain occurring after a marathon or any sports.Use coupon code to get this offer.Click to get this ",,,,,,,
"123-4-181364","Get Rs.150 Off on Mini Order Rs.750& above","Store wide offer, buy any thing worth above than Rs.750 and get †Rs.150 off. use coupon code to get this offer. click here to get in to this offer page.",,,,,,,
"123-4-182314","Combo Offer: Flat 10% Off on Khadi Brands","Special combo offer on Khadi naturals, Buy any 5 products and get flat 10% off on product price. use coupon code to get this offer. click here to get in to this offer page.",,,,,,,
"123-4-184566","Get Rs.150 Off on Mini Cart Value Rs.750","Offer on Rakhi gifts, †Buy any products worth Rs.750 and above to get Rs.150 off, use coupon code to get this offer. click here to get in to this offer page.",,,,,,,
"123-4-190181","Free Gift Worth Rs.115 For First Time User&#8217;s Only","Register and get free gift Vouchers worth Rs.115 only, offer valid for First time users only, use coupon code to get this offer, click here to get in to this offer page.",,,,,,,
"125-1-96660","Extra 15% off on Mangalsutra","Get extra 15% off on Mangalsutra. Free shipping is available. Only valid for products listed on listing page. This offer is valid for COD orders. No Code is required to Avail this offer. ",,,,,,,
"125-4-132537","Upto 50%+ Extra 10% Off On Auto Cleaning Products","This offer valid on landing page products off different categories like Micro fibre cloth, Washing gun, Drink holders set etc. This offer apply on minimum purchase of Rs.1000 & more. Use coupon code to get the discount. Click to get the offer page.",,,,,,,
"127-7-24288","Get Best Deals On Hotel & Flight Bookings At IXiGO","Get Best Deals on Hotel & Flight Bookings at IxiGo",,,,,,,
"127-7-534638","Flat Rs.750 Cashback On Jet Airways Flight Bookings","Get flat Rs.750 cashback on jet airways flight bookings done via ixigo.com. Code Not Required to avail this offer. Checkout landing page for more details.",,,,,,,
"127-7-553249","Vadodara - Flights Starting At Rs.2170","Vadodara - Flights starting at Rs.2170 at IXIGo.com. Code Not Required to avail this offer. Checkout landing page for more details.",,,,,,,
"13-3-10052","Mens Wear Clearance Sale : Upto 35% OFF","American swan Clearance sale offer on mens wear catalogue like shirts, tees, shoes, polos, trousers, chinos, jackets, wallets and many more. Buy and get upto 35% off on men collections. No discount coupon needed. Limited time period offer. Hurry up. ",,,,,,,
"13-3-10578","New Arrivals : Women&#39;s Clothing","Get the latest women fashionable products in the listing page of different categories like Tops, Jeans, Hand bags, Scarf's, Bottom wear and many more. Choose from more than 250+ Products. ",,,,,,,
"13-3-10580","American Swan Exclusive - AS Original Collections","Check out american swan exclusive collections in the listing page. Choose from huge collection in the listing page. No Code needed.",,,,,,,
"13-3-11645","Women Clothing Clearance Sale : Upto 70% OFF On No Min Cart Value","Buy and get upto 70% off on all diva sale shopping products like Dresses, Tops, Trousers, wallets, Jeans, Kurtas, Hand Bags and many more. No american swan coupon needed, simply click on the activate deal button to Avail the offer. ",,,,,,,
"13-3-11740","Men Shoes Starting At Rs 999","Buy american swan shoes online starting from Rs 999 only. Select from different types like casual, sneakers, ankle shoes, boots and many more. No discount coupons needed. ",,,,,,,
"13-3-15625","Women Tops Starting At Rs 499","Buy women tops online starting at Rs 499 only. Select from different colors and sizes available. Explore from all fashion tops. Buy now!",,,,,,,
"13-3-15925","Men Jeans Starting At Rs 1299","Buy men denim jeans online starting at Rs 1299. Select from different shades of jeans and sizes available. No Code needed.",,,,,,,
"13-3-16163","15% Cashback On Mobikwik Orders (Sitewide)","American swan offers flat 15% cashback for all orders at american swan. Pay your payment through mobikwik wallet and get Extra 15% cashback, max of Rs 150. No Code needed. ",,,,,,,
"13-3-16171","Men Sweat Pants Starting At Rs 1099","Buy Men Sweat Pants Starting At Rs 1099. No Code needed.",,,,,,,
"13-3-2364","Flat 60% OFF Men Winter Wear Apparels","Get flat 60% off winter wear apparels. Select from different categories of products. No Coupon Code needed.",,,,,,,
"13-3-3092","Register And Get Rs 200 Worth Gift Voucher + Rs 2500 Shopping Coupons","Register at American Swan and get Rs 200 gift voucher + Rs 2500 shopping coupons. Vouchers will be emailed to your email address after the completion of sign-up process. Register today and save money on your shopping. ",,,,,,,
"13-3-742","Men Shorts Starting At Rs 1099","Buy men shorts online at american swan. Prices starting at Rs 1099. Select from different colors available. No Code needed.",,,,,,,
"13-3-743","Men Polos Starting At Rs 799","Buy men polo t-shirts online starting form Rs 799. Select from 50+ designs and sizes. No discount Code needed. Click activate deal and Avail the discount. Look cool & dazzle in your style. ",,,,,,,
"13-3-930","Men Shirts Starting At Rs 999","Buy trendy and fashionable men casual shirts from american swan starting at Rs 999 only. Select from 100+ shirts. No coupon needed.",,,,,,,
"13-7-530743","Cart Buster Sale - Flat 55% Off On Purchase Of Rs.1199","Place an order of Rs.1199 or more and get flat 55% off at American Swan. Valid for products listed on the listing page. Use Code to avail discount.",,,,,,,
